topic_id,count,coherence_c_v,label,top_words,example_1,example_2,example_3
184,841,0.6104,,"your, question, put, ask, you, please, answer, let, want, me",Ask your question!,"Question, please!",Please put the question!
72,837,0.5787,,"jhugroo, ganoo, hon, ramful, mrs, perraud, mahomed, dookunluchoomun, sinatambou, roopun",Hon. Jhugroo!,Hon. Jhugroo!,Hon. Yerrigadoo!
32,830,0.6984,,"clause, ordered, stand, deleting, part, bill, amended, amendment, replacing, agreed","Madam Speaker, the Protection of Human Rights Act was amended in 2013 by introducing section 4A, so as to allow a convicted person or his representative to apply to the National Human Rights Commission requesting the latter to conduct an inquiry as to whether there exists sufficient fresh and compelling evidence to refer the case back to the Supreme Court for a review of the proceedings. I am informed by the National Human Rights Commission that two applications have been received since 2013 for inquiry to be carried out as provided under section 4A of the Protection of Human Rights Act. Inquiry in the first case, received on 10 July 2014, is ongoing and same is expected to be completed by mid-2015. I refer the hon. Member to my reply to Parliamentary Question No. B/15 of the sitting of 10 February 2015. In regard to the second application dated 28 July 2014, the Commission is presently gathering additional information regarding the conviction, over and above the information provided by the convicted person.","Madam Speaker, on a point of order, I would like to get your guidance on it. We are debating a Bill. The Bill proposes an amendment to a Schedule. We have to approve this new Schedule. So, we have to approve having the DPP’s office under the Attorney General’s Office and I am giving reasons why I think that this House should not approve the Second Schedule, in as far as it is making the DPP’s office no longer an item on its own, but a sub-item under the Attorney General’s Office. So, I would like to know in what way what I am talking is not relevant, Madam Speaker.",MOTION STANDING ORDERS – PROGRAMME-BASED BUDGETING - AMENDMENT
26,817,0.4764,,"mohamed, shakeel, hon, you, please, he, your, said, this, not","Yes, hon. Mohamed.","Hon. Mohamed, did you ask the floor? No! That’s alright. Hon. Leader of the Opposition!","Hon. Mohamed, you made your point. Do not make a statement, please! You made your point!"
47,810,0.5315,,"air, airport, mauritius, ltd, flights, the, of, and, for, to","Madam Speaker, with regard to part (a) of the question, I am informed by the Airport Terminal Operations Ltd that Mrs N. S. was granted access to the VIP Lounge at the Sir Seewoosagur Ramgoolam International Airport on 71 occasions …","Namely, 35 departures and 36 arrivals. I find it strange how is it 35 departures, but 36 arrivals between 21 September 2008 and 26 November 2014. In regard to part (b) of the question, no official request was made for such facilities in favour of Mrs N. S. at the level of Home Affairs Division of the Prime Minister's Office, which is responsible for processing of applications and grant of access to the VIP Lounge. However, such requests in respect of Mrs N. S. were made by the Private Office of the former Prime Minister directly to the Airports of Mauritius Ltd. or Airport Terminal Operations Ltd. These requests were not made through the normal channel. Thus, there is no information in which capacity Mrs N. S. benefitted from such facilities, but the public knows how and why she was granted such facilities.","From the reply of the Deputy Prime Minister, I understand that he is dead against the use of jet skis in our lagoons. Then, do I understand that Government will shortly take a decision to ban the use of jet ski?"
48,803,0.4278,,"suspend, sitting, hour, half, minutes, one, members, hours, for, 30","Hon. Members, I suspend the sitting for us to attend the presentation of the Government Programme 2015-2019 by the President in the Sir Harilal Vaghjee Memorial Hall, where the sitting will be resumed. Ten minutes after the departure of His Excellency, the President, the sitting will again resume in the Chamber for the continuation of the business of the House.",I suspend the sitting for one and a half hour for lunch.,I suspend the sitting for half an hour for tea.
75,801,0.9549,,"prsident, le, de, je, et, la, que, des, ce, les","Je comprends que ce n’est pas grave. Excusez-moi, M. le président !",This gentleman took office on the next day; it was on 31 December.,We have not yet discussed at Government level what stand we are going to take. As soon as we are ready we will do the needful and we will approach the President.
162,789,0.4535,,"speech, you, your, please, silence, quiet, continue, said, no, keep",Are you challenging the rights of the Speaker?,Are you challenging the rights of the Speaker?,"Please, allow him to complete his speech!"
29,782,0.643,,"rent, rental, 22030, building, parking, space, item, slots, lease, rented","Mr Deputy Speaker, Sir. With regard to part (a) of the question, I am informed by the Master and Registrar that both the Pamplemousses and Rivière du Rempart District Courts are located in the same rented building situated in Pamplemousses. The details regarding the terms and conditions are as follows - (i) The lease agreement started on 16 October 2013 and will end up on 31 October 2018. (ii) The monthly rent payable is Rs400,000 exclusive of VAT escalating annually at the same rate as the Consumer Price Index established by the Central Statistical Office or 5% per annum whichever is the higher. Mr Deputy Speaker, Sir, with regard to part (b) (i) and (ii) of the question, Government has in the 2015-2019 programme provided for the review and upgrading of all District Courts premises to ensure better services to all stakeholders. As regards Pamplemousses Police Station, I am informed by the Police Department that it is housed in a rented building owned by Mrs Sohawon Bibi Azizah. It is of approximately 2917 square feet and is situated at Royal Road Pamplemousses. The Lease Agreement has been renewed for a period of two years with effect from 01 February 2014, at a monthly rental of Rs37,500, as recommended by the Valuation and Real Estate Consultancy Services, Valuation Department. As regards the construction of new buildings for Pamplemousses Police Station and restoration of existing ones, I am also informed that provision has been made in the 2014 Budget for the construction of a new Police Station at Pamplemousses. In that connection, a portion of land of the extent of 0A 45 P has been acquired by the Government and vested with the Prime Minister’s Office. Preliminary design of the new Police Station is in progress at the Architecture Section of my Ministry and is expected to be completed by mid-March 2015.",Can I ask the hon. Minister if any tender exercise was carried out before these premises were rented and if he can give the name of the owner?,"From the information provided to me, in July 2013, the Judiciary launched public advertisement inviting prospective owners to submit a building for rent to house both the District Courts, but only one, Mascarene Court submitted an offer."
84,780,0.3346,,"order, please, continue, out, said, you, side, feet, ordering, wait","Order! Order, please!",I shall resume when there is some order.,"Order, please! Order!"
46,755,0.8123,,"pension, basic, retirement, pensions, fund, social, beneficiaries, npf, invalidity, age","“One graduate per family. But after that, he forgot to add: “One unemployed per family”. Ene somer par famille avek ene fosse certificat.","Madam Speaker, the hon. Minister of Finance just mentioned that, at least, 74 people took the Voluntary Retirement Scheme and that was done in the context of the DBM being restructured. Now that the hon. Minister has just announced that we are not going to go ahead with the strategic Partner, will the DBM consider reintegrating those people who had been misled into opting for voluntary retirement on the basis that the Bank was going to close down?","Now, he asks for his pre-retirement leave! He gets his pre-retirement, his golden handshake."
116,745,0.319,,"continue, finished, finish, conclude, please, try, you, okay, yes, let",I have taken…,I have nearly finished.,"Well, anyway, I think I have finished with him."
43,732,0.3218,,"rodrigues, regional, assembly, de, our, in, et, for, la, republic","Mr Deputy Speaker, Sir, after the removal of all cyclone Bansi warnings over Rodrigues on Saturday 17 January 2015, I led a Task Force to Rodrigues comprising representatives of the National Disaster Risk Reduction and Management Centre, the Special Mobile Force and the Central Electricity Board. On Sunday, 18 January 2015. The main objective of the Task Force was to take stock of the impacts of Cyclone Bansi in Rodrigues and to ensure that prompt action is taken by the concerned authorities regarding reconstruction works. This exercise was carried out jointly with representatives of the Disaster Committee of Rodrigues. Fortunately, except for the electricity network and agriculture, Rodrigues did not suffer considerable damages in terms of infrastructure and buildings, and no casualties were reported. At the time of the visit, around 80% of the electricity network had already been restored. With the support of the Task Force, the whole network was restored after a few days. In the circumstances, the need for the setting up of a Rodrigues Rehabilitation Emergency Programme is not felt. However, during the visit of the Task Force, certain works were identified for disaster risk reduction and mitigation. These include the gradual replacement of the ‘Radiers’ located along the coastal roads by bridges, construction or rehabilitation of drains along existing roads as appropriate and the construction of a flood wall. The Public Infrastructure Division of the Rodrigues Regional Assembly has been advised to look into the execution of these works. The Ministry of Public Infrastructure and Land Transport has agreed to provide technical assistance whenever required. With regard to part (b) of the question, coastal erosion was noted between Anse des Anglais to Grand’ Baie. My Ministry will shortly arrange to send experts from the Japanese International Cooperation Agency presently working at my Ministry and a team of officers to carry out a technical assessment and to advise the Rodrigues Regional Assembly on remedial measures. Thank you.","Given the fact that the Mauritius Trochetia is the only vessel which is serving Rodrigues to make the liaison within the islands of Rodrigues and Mauritius and the Mauritius Trochetia is going to dry dock for maintenance, can I ask the hon. Minister what are the dispositions he has taken so as to ensure liaison between the two islands and whether the hon. Minister is contemplating lowering the airfare so as to allow people to move freely from Mauritius to Rodrigues?","Mr J. Leopold (Second Member for Rodrigues): Thank you, Madam Speaker. Madam Speaker, before I come with my maiden speech, I would like to draw the attention of the House to the catastrophic situation which took place yesterday at Port Mathurin filling station. Thanks to God that the incident occurred when all five tank takers on the filing station were empty. If only one of them had contained petrol, an explosion would have taken place, thereby destroyed everything in a one-kilometre radius. Important structures like the Court of Rodrigues, the central power station, the Police Headquarters and the port would have been at risk, with the Mauritius Trochetia currently anchored, and all major decision-making institutions of Rodrigues would have been destroyed. It makes us once again reflect upon the urgency to develop the port of Port Mathurin as per the Port Master Plan. During the visit of the hon. Minister of Finance and Economic Development recently in Rodrigues, we had highlighted this issue with him and in the Port Master Plan as far as fuel depot is concerned so as to make Port Mathurin safer. There is a provision to set up a petroleum island in Rodrigues. Madam Speaker, I rise tonight humble by the responsibility placed in me by the people of Rodrigues but, first and foremost, allow me to congratulate you, Madam Speaker, for your elevation to your high office. May I also join the chorus of congratulations that has echoed around this Chamber to congratulate all the hon. Members of this House for having been elected by their respective electorates. I am very honoured indeed to enter this Chamber as representative of the OPR Party (Organisation du Peuple de Rodrigues) for the electorates of the autonomous island of Rodrigues. I would like to sincerely thank the electors of the autonomous island of Rodrigues for showing confidence in my ability to represent their interests here in this House. I succeed one of the greatest members and campaigners I believe this House has known, the first Rodriguan who got elected in 1982 and served his constituency as Minister of Rodrigues under the name of Mr Louis Serge Clair. He is the leader of the OPR Party through which both hon. François and I are proudly representing the interests of our island here, in the decisive House."
65,732,0.4218,,"price, column, petroleum, products, stc, per, valorem, 870, oil, importation","Next question, hon. Uteem! STC - MOGAS & GAS OIL – MONEY COLLECTED (No. B/27) Mr R. Uteem (First Member for Port Louis South & Port Louis Central) asked the Minister of Industry, Commerce and Consumer Protection whether, in regard to Mogas and Gasoil, he will, for the benefit of the House, obtain from the State Trading Corporation, information as to the amount collected, in terms of – (a) excise duty; (b) Maurice Ile Durable levy; (c) contribution to Road Development Authority; (d) contribution to Rodrigues transportation and storage; (e) contribution to the Build Mauritius Fund; (g) contribution to subsidy on Liquefied Petroleum Gas (LPG); (g) flour and rice, and (h) Value Added Tax for 2014 and estimated for 2015, indicating if Government will consider reviewing the various components of the price structure thereof to bring down their prices.","Mr Deputy Speaker, Sir, I am informed by the State Trading Corporation that, with regard to Mogas and Gas Oil, the amount collected in respect of the various components are as follows – S/N Payable to Product 2014 2015 Rs M (Estimated) Rs M (a) Excise Duty Mauritius Mogas 1,896 1,966 Revenue Gas Oil 738 886 Authority (b) Maurice Ile Mauritius Mogas 53 55 Durable Levy Revenue Gas Oil 67 81 Authority (c) Contribution to Road Mogas 325 337 the RDA Development Gas Oil 391 470 Authority (d) Contribution to Rodrigues Mogas 9 29 Rodrigues Subsidy Fund Transportation and Gas Oil 11 43 Storage (e) Contribution to Ministry of Mogas 176 728 Build Mauritius Finance Gas Oil 224 1,075 Fund (f) Subsidy on Rice, State Trading Mogas 263 273 Flour and LPG Corporation Gas Oil 336 403 (g) VAT Mauritius Mogas 1,107 1,171 Revenue Gas Oil 1,147 1,462 Authority Mr Deputy Speaker, Sir, as regards the last part of the question, I propose to consult my colleague, the hon. Minister of Finance and Economic Development on the possibility of reviewing the price structure for Mogas and Gas Oil.","Mr Deputy Speaker, Sir, only six days before the announcement of the new price structure, the hon. Minister gave an interview to the press and it is important to have announced a substantial fall in the price of Gas Oil and Mogas, and I quote – “La decision de faire baisser les prix, fait ressortir le ministre, sera prise afin que la population mauricienne se rende compte tout de suite que l’Alliance qu’elle a portée au pouvoir, tient à respecter son engagement pris pendant la campagne electorale pour rendre la vie des mauriciens moins pénible. » May I know from the hon. Minister, why is it that only one month after coming into power they are getting back to what was one of their central themes in their electoral campaign?"
153,724,0.5888,,"education, university, mauritius, students, training, tertiary, and, of, the, in","Thank you, Mr Deputy Speaker, Sir. Can I ask the hon. Minister how many Bangladeshi workers have been recruited since July 2005 up to now?","Mr Deputy Speaker, Sir, according to the record available at my Ministry, there are currently around 38,843 foreign workers in Mauritius among whom 7,815 Indians, 3,114 Chinese, 21,252 Bangladeshi, 112 South Africans and 6,550 from other countries. It has been the policy of the Ministry of Labour, Industrial Relations and Employment to allow companies to have recourse to foreign labour when the skills required are not available locally. In this regard, there are guidelines in accordance with section 4(1) of the Non-Citizens (Employment Restriction) Act, 1993 for applications for work permits. The renewal of work permits is presently being considered on a case to case basis so as not to cause prejudice to companies which already have projects or orders in hand. However, as I indicated earlier to my reply to PQ B/30, in line with the Government Programme 2015-2019 to the effect that the recruitment of foreign workers will be limited to scarcity areas and the work permit regulations will be reviewed, I am reiterating my proposal for the setting up of a high level committee under the aegis of my Ministry to look into the issues relating to employment of foreign workers in general, including the review of existing regulations, the streamlining of procedures, the need for a security bond or deposit, the ratio of foreign workers to local workers as well as the proper operation of recruitment agencies.","With regard to the same issue and as the question puts it reviewing the ratio and with a view of reducing local unemployment and now since I see that there is a new portfolio to that Ministry which is very good news that specifically of training which is an excellent and welcome news, would the hon. Minister consider - since now he holds the portfolio for training - to enlist, since I gather the MITD (The Mauritius Institute for Training and Development) as well as the Human Resource Development Council is now, I hope, under his portfolio, since he is - if I am not mistaken now, as I said good news - the Minister of Training?"
71,704,0.3012,,"rutnah, lepoigneur, hon, lobine, nuckcheddy, gobin, please, yes, unparliamentary, charmante",Hon. Gobin!,"Who use unparliamentary words? Hon. Rutnah, please do not use unparliamentary words!",Hon. Rutnah!
51,695,0.597,,"tourism, hotels, hotel, tourists, tourist, in, the, authority, to, for","Mr Deputy Speaker, Sir, I am informed by the Tourism Authority that it has received five applications for the operation of jet ski for the period July 2013 to December 2014. Thereafter, the Tourism Authority issued five Letters of Intent as follows - • Sports Craft Enterprises on 25 July 2013, at Black River; • Blue Shell Co. Ltd. on 23 July 2013, at Pointe aux Piments; • North West Fun Ltd. on 23 July 2013, at Trou aux Biches; • Watercraft Enterprises Co. Ltd. on 31 July 2013, at Pointe Jérôme, and • Cap Nord Ltd. on 02 December 2014, at Cap Malheureux. I am also informed that the Tourism Authority has issued Tourist Enterprise Licences and Pleasure Craft Licences to the following three companies - • Blue Shell Co. Ltd., which started operations on 27 December 2013 • North West Fun Ltd., which started operations on 30 December 2013 • Sports Craft Enterprises, which started operations on 12 May 2014 The conduct of jet ski activities were subject to conditions imposed by the Tourism Authority and clearance from the Ministry of Fisheries. The licences of Blue Shell Co. Ltd and North West Fun Ltd were suspended on 30 December 2014 for non-compliance with the main conditions imposed by the Ministry of Fisheries. Mr Deputy Speaker, I am further informed that the Ministry of Ocean Economy, Marine Resources, Fisheries, Shipping and Outer Islands has on 30 January 2015 advised that with a view to reinforcing conservation of the marine eco system, it will not entertain any application for jet ski in Mauritius waters. The Tourism Authority has been requested to take note for compliance. In regard to sea kart, I am informed by the Tourism Authority that six Letters of Intent were issued for the period February 2014 to January 2015, including one which was issued nine days before the General Elections. Subsequently, five were cancelled due to non- compliance with the conditions and withdrawal of applications. One Letter of Intent is still valid up to December 2015. The Tourism Authority has issued a pleasure craft licence to Fun Adventure Ltd. which is valid until April 2015. Mr Deputy Speaker, Sir, the Ministry of Fisheries has advised that the operation of Sea Kart can only be carried out outside the lagoon and excluding – (i) Identified potential aqua culture sites; (ii) Marine protected areas; (iii) Diving sites, and (iv) Dolphin watching sites. The conduct of this activity is, therefore, being closely monitored and a decision thereon will be taken by the Tourism Authority at the appropriate time in the light of the advice of the Ministry of Fisheries.","I thank the Deputy Prime Minister for his reply. True it is that this activity attracts a lot of tourists, but he will agree that the way it is being carried out right now is in a very irresponsible and unsustainable manner. What we need to do is to supervise that activity.","Is he aware that, on 01 August 2006, the issue relating to that ‘madame là’ was raised here, and Minister X. L. Duval replied? Then, she was appointed - same lady - Director of Tourism Authority, travelled all over the world on missions which had nothing to do with, supposedly, her appointment…"
111,694,0.5583,,"csr, ngos, foundation, social, funds, fund, organisations, guidelines, to, that","Madam Speaker, in my New Year address to the Nation, I indicated that relations between Government and socio-cultural organisations would henceforth focus on our partnership to address problems within our society, including the erosion of values. Obviously, we shall actively continue promoting together our rich and diverse religious, cultural and linguistic heritage. The use and misuse by the former regime, of religious and socio-cultural platforms that had been converted into political platforms have been prejudicial to national unity. Hence, I decided to act, and the decision I announced in my New Year Speech is not only a Government decision, but a political one as well. The issue of bringing legislation to give effect to this decision does not arise. I expect politicians on all sides to be responsible enough to adopt this line of conduct.","As I have mentioned, my Ministry is making the arrangement.","Madam Speaker, with respect to parts (a) and (b) of the question, I am informed by the National Empowerment Foundation that the information is being compiled and will be tabled. With regard to the name of the suppliers for CIS and CCIS, I am tabling the list as provided by the foundation."
89,667,0.6252,,"salary, advisers, adviser, advisor, monthly, mr, salaries, allowance, extra, contract",My point is: are they still being paid as a consultant?,"Are they still being remunerated, paid as a consultant?","Madam Speaker, I am informed by the Mauritius Football Association that the services of Mr Didier Six have been enlisted by the MFA and the Professional Football League on a seven months contract basis as from 16 January 2015 to act as General Manager, National Technical Director and national coach of Club M and will be renewed for a further period of two years. I am further informed by the MFA that he has been paid the sum of 35,000 euros at the time of signature of the contract. During the seven months’ period he will be paid a monthly salary of 10,000 euros. That amount also includes the salary of his assistant, Mr Alain Happe who will also be in charge of the female football team. Mr Didier Six will also be provided with accommodation and transport facilities. Furthermore, Mr Didier Six will regularly communicate with the press on progress made by our national team."
92,666,0.4713,,"act, bill, rs, clause, of, or, to, the, and, for",I take it that with the new legislation everything will be reviewed?,"The Local Government Act is different. The Bill we are bringing will be very different from that and I just said, insofar as hon. Members of Parliament are concerned, there is no problem.","Hon. Bhagwan! Hon. Bhagwan, please! PUBLIC BILL Second Reading THE FINANCE AND AUDIT (AMENDMENT) BILL"
61,649,0.8442,,"road, driving, accidents, traffic, safety, drivers, police, fatal, vehicles, roads","Madam Speaker, I am fully aware of this nuisance caused by increasing number of motorcycles with modified silencers. I wish to inform the House that Section 83 (3) of the Road Traffic (Construction and Use of Vehicles) Regulations 2010 provides that – “No person shall - (a) fit on the exhaust pipe of a motor vehicle any extension or other device likely to cause excessive or unusual noise; or (b) alter the silencer in such a way that the noise caused by the escape of the exhaust gases is made greater by the alteration.” The same legislation also provides that any person who contravenes Section 83 (3) of the Act shall commit an offence and may be liable to a fine not exceeding Rs10,000. To address the ongoing problem, the Police de l’Environnement carries regular checks and establishes contraventions against riders. For the years 2013 and 2014, a total of 1220 and for the month of January 2015, 78 contraventions have been established. With a view to curbing down this offence drastically, the following measures will be implemented – (i) an opération “Coup de poing” will be undertaken by the six teams of Police de l’Environnement throughout the island for a period of two weeks; (ii) an awareness campaign will be undertaken to sensitise the public on the provisions of the law and associated fines; (iii) training will be given to the regular Police on the enforcement of the provisions of this piece of legislation to enable the whole Police force to take firm actions against contraveners in the future; (iv) the strength of the Police de l’Environnement will be also increased, and (v) provision for stiffer penalties including seizure of motorcycles will be also looked into.","Regarding this issue, there would be an opération coup de poing, the hon. Minister has just mentioned. Can I ask the hon. Minister to ensure that this operation takes place at night because we know all those who have modified their motorcycles do venture in illegal rallies at night and this is where most disturbances are being caused?","Madam Speaker, I am informed by the Commissioner of Police that on 09 January 2015, in the morning, a road accident was reported at Vacoas Police Station. The accident involved a van owned by the Tourism Authority. It was driven by one Mr L.M.S.A, a Manager of the Authority to whom the vehicle was allocated."
77,647,0.7882,,"bus, buses, transport, route, nlta, routes, operators, the, travel, ntc","Madam Speaker, just after assuming office, the hon. Minister made a statement to the effect that duty-free vehicle would be given to marchands ambulants. Can I ask the hon. Minister how this measure will be applied and what is the time frame for the application of such measure?","Is the hon. Prime Minister aware that according to information, this van in question was driven by someone who was a former employee of the Tourism Authority and only reinstated in his position as employer of Tourism Authority after the accident?","May I ask the hon. Minister to table figures that have been carried out on consultancy services not specifically meant for the light rail transit, but all those which came to the conclusion that the light rail transit will be the best option for the Republic?"
53,644,0.7168,,"metro, express, project, rail, light, transport, urban, the, hill, and","Hon. Mahomed, next question! LRT SYSTEM PROJECT – CONSULTANCY SERVICES (No. B/84) Mr O. Mahomed (Third Member for Port Louis South & Port Louis Central)asked the Minister of Public Infrastructure and Land Transport whether, in regard to the Light Rail Transit System Project, he will state the amount of money successive Governments have spent in relation thereto in terms of recruitment of consultants and consultancy services since the implementation thereof in Mauritius has been envisaged.","Madam Speaker, with regard to the Light Rail Transit System, a number of consultancy services have been carried out. The first study, in fact, dates back as far as 1991. Most of the studies were carried out in relation to the transport system in general, with the Light Rail Transit System as an option. I am informed that the first payment was, in fact, effected in 1993. The information requested is, therefore, being compiled and will be tabled in due course.","Thank you, Madam Speaker. Since we are pleased to learn that the first level consultant work on this matter of light rail was in 1991, which was an excellent idea and still is today, and so many successive governments have spent so much money on this whole consultancy for the project of light rail - and hon. Pravind Jugnauth, I remember, was right when he came in 2010 and tried to push for the whole idea of light railway - could we not, therefore, find out how much money has been really spent by the Republic and whether it is worthwhile not to delay its remaining on the shelf? Lesser the time it remains on the shelf, maybe we will not be faced with another situation where the whole project cost eventually will be another increase that will be more of a problem for us to face if ever we want to implement it."
87,635,0.2945,,"last, question, hon, next, uteem, supplementary, jhugroo, rutnah, ameer, meea","Last question, hon. Ganoo!","Last question, hon. Uteem!",Hon. Uteem has a question.
59,633,0.3577,,"thank, you, hon, minister, much, very, please, yes, ms, dental","Before we proceed, let me thank the hon. Minister for his well- wishes and assure the hon. Minister that I will convey them to Madam Speaker as soon as I see her next.","Thank you, Madam Chairperson.","I am grateful for the answer given by my friend, hon. Callichurn, but I would like to take him back to the item on which I have asked a question earlier on in relation to Victoria House."
56,620,0.505,,"papers, ministry, laid, report, annual, table, notice, ended, office, original","Madam Speaker, the Papers have been laid on the Table - A. Prime Minister’s Office – The National Identity Card (Extension of Validity Period) (Amendment No. 3) Regulations 2014) (Government Notice No. 228 of 2014). B. Ministry of Finance and Economic Development","Madam Speaker, the Papers have been laid on the Table - A. Prime Minister’s Office – The Reports of the Director of Audit on the Financial Statements of the National Human Rights Commission for the year ended 30 June 2009 and for the period ended 31 December 2010. (In Original) B. Ministry of Finance and Economic Development (a) The Income Tax (Amendment of Schedule) Regulations 2015 (Government Notice No.3 of 2015). (b) The Freeport (Amendment of Schedule) Regulations 2015 (Government Notice No.4 of 2015). (c) The Value Added Tax (Amendment of Schedule) Regulations 2015 (Government Notice No.5 of 2015). (d) The Digest of International Travel and Tourism Statistics 2013.","Madam Speaker, the National Human Rights Commission was created in April 2001 under the Protection of Human Rights Act 1998. The Act was amended in 2012 to create a Human Rights Division; a Police Complaints Division; and a National Preventive Mechanism Division. These Divisions operate under the Protection of Human Rights Act; the Police Complaints Act; and the National Preventive Mechanism Act, respectively. The main purpose of the amendments was to broaden the mandate and functions of the National Human Rights Commission in line with international best practices. However, as mentioned in the Government Programme 2015-2019, an independent Police Complaints Commission presided by a former Judge of the Supreme Court will be created to further consolidate the fundamental rights of our citizens. As regards part (b) of the question, I am advised that the Commission is taking the necessary measures to increase its technical staff while the staffing of the new Police Complaints Commission will be looked into after its establishment."
40,618,0.6693,,"cattle, animals, veterinary, dogs, animal, disease, meat, livestock, msaw, stray","Yes. I know this problem. We have discussed it already with the Lord Mayor and the Chief Executive. I am going to look into it. TURKEY REARING PROJECT (No. B/81) Mr J. C. Barbier (Fifth Member for GRNW & Port Louis West) asked the Minister of Agro-Industry and Food Security whether, in regard to the Turkey Rearing Project, he will state if the experimental phase thereof is now complete and, if so, indicate if turkey chicks will be made available to farmers who are interested therein and, if so, when.","Madam Speaker, I am informed that, in the context of the Turkey Rearing Project, a first batch of 514-day old turkey chicks of reproductive breed Orlopp Bronze was imported from France in October 2013 for reproduction purpose and eventual distribution to interested farmers. The Animal Production Unit of my Ministry has experimented on the adaptability of the imported turkeys to local conditions and has investigated parameters such as fertility, hatchability, growth rate and feed conversion efficiency which are of paramount importance in turkey production. The tests have shown that the turkeys were well acclimated to local conditions. However, one of the main constraints identified was the low fertility rate which has not allowed the desired results to be achieved. Turkey reproduction is facilitated by artificial insemination, a technique which the staff of the Animal Production Unit has not acquired yet. The expertise of the Chinese experts working at Albion under the Chinese Agricultural Technical Cooperation Programme has been sought to impart the necessary training to the staff. I am advised that the turkeys imported in October 2012 have been distributed to some 50 farmers in June 2014. Pending the capacity-building programme and the resumption of the Turkey Reproduction Project, turkeys of commercial breed are being imported and sold directly to farmers. A first batch of 1,000 turkey chicks has accordingly been imported in September 2014. A second batch is planned for May 2015.","Madam Speaker, in fact, assessments and monitoring are being made. Those farmers that are in that kind of breeding are backyard farmers doing artisanal breeding. So, what we are planning to do is, given that the demand for turkey meat is on the high side, we are thinking of revamping or increasing that industry. We are looking at ways and means to get more farmers into the breeding of turkeys so that we could increase more and more people to produce locally the turkey meat."
